source,category,title,authors,abstract,pub_date,link,doi,matched_keywords,retrieved_at,raw_date_text
Journal of Finance,finance,Deposit Inflows and Outflows in Failing Banks: The Role of Deposit Insurance,"CHRISTOPHER MARTIN, MANJU PURI, ALEXANDER UFIER","ABSTRACT Using unique, daily, account‐level data, we investigate deposit outflows and inflows in a distressed bank. We observe an outflow of uninsured depositors following bad regulatory news. Both regular and temporary deposit insurance reduce outflows. We provide important new evidence that, simultaneous with deposit outflows, deposit inflows are first order. Uninsured deposit outflows were largely offset with new insured deposit inflows as the bank approached failure, with the bank increasing term deposit rates. This phenomenon holds in a large sample of banks that faced regulatory action, suggesting that insured deposit inflows are an important mechanism that weakens depositor discipline.",2026-03-30T15:54:37+00:00,https://onlinelibrary.wiley.com/doi/10.1111/jofi.70007?af=R,10.1111/jofi.70007,insurance,2026-04-08T06:17:25.974127+00:00,"Mon, 30 Mar 2026 08:54:37 -0700"
Journal of Finance,finance,Carbon Pricing versus Green Finance,LASSE HEJE PEDERSEN,"ABSTRACT Green finance—including environmental, social, and governance investing and sustainable finance regulations—is widespread, but can it substitute for carbon pricing in fighting climate change? In a unified model, I show that (i) when carbon prices reflect the social cost of carbon, green finance should not be used; (ii) when carbon prices are too low, green finance can implement the social optimum if each firm's cost of capital can be set to its sustainable discount rate , which increases with the ratio of carbon emissions to firm value. I provide calibrations, analyze stranded assets, and present implementations through subsidies or preferential financing for green firms.",2026-03-30T15:54:37+00:00,https://onlinelibrary.wiley.com/doi/10.1111/jofi.70022?af=R,10.1111/jofi.70022,climate,2026-04-08T06:17:25.974127+00:00,"Mon, 30 Mar 2026 08:54:37 -0700"
Journal of Finance,finance,Investor Composition and the Liquidity Component in the U.S. Corporate Bond Market,"JIAN LI, HAIYUE YU","ABSTRACT The link between corporate bond credit spreads and secondary market illiquidity in the cross section has grown stronger since 2005, resulting in a higher liquidity component in credit spreads. Using U.S. investor holdings data, we show that short‐term investors (e.g., mutual funds/exchange‐traded funds [ETFs]) increase trading activities in the secondary market, amplifying the effect of secondary market frictions on prices. We provide a model featuring heterogeneous investors with different trading needs and heterogeneous bonds to investigate the impact of the rapid‐growing mutual fund/ETF sector on the corporate bond market. We find the change in investor composition can quantitatively explain the aggregate trend.",2026-03-30T15:54:37+00:00,https://onlinelibrary.wiley.com/doi/10.1111/jofi.70024?af=R,10.1111/jofi.70024,mutual fund,2026-04-08T06:17:25.975127+00:00,"Mon, 30 Mar 2026 08:54:37 -0700"
Management Science,om,"Private Equity, Consumers, and Competition: Evidence from the Nursing Home Industry",Ashvin D. Gandhi; YoungJun Song; Prabhava Upadrashta,"This paper studies how product market competition shapes the impact of private equity (PE) acquisitions on consumers. We examine nursing home buyouts and observe that PE-owned facilities exhibit greater competitive sensitivity: competing more aggressively when competitive incentives are strong and exploiting market power more aggressively when competitive incentives are weak. We find that PE-owned facilities are more sensitive to local market competition—even when comparing effects only across facilities purchased as part of the same acquisition—and are more responsive to a pro-competitive policy helping consumers compare facilities. This suggests that regulators should attend to the competitive sensitivity of acquirers and the concentration of markets where acquisitions occur, as well as consider pro-competitive policies to mitigate or even reverse PE’s potentially adverse consequences. This paper was accepted by Carrie Chan, healthcare management. Funding: This work was supported by the UCLA Price Center for Entrepreneurship and Innovation and the UCLA Fink Center for Finance and Investment. Supplemental Material: The online appendix and data files are available at https://doi.org/10.1287/mnsc.2023.01486 .",2026-04-03T07:00:00+00:00,https://pubsonline.informs.org/doi/abs/10.1287/mnsc.2023.01486?af=R,10.1287/mnsc.2023.01486,healthcare,2026-04-08T06:17:27.848079+00:00,2026-04-03T07:00:00Z
Management Science,om,Do Carbon Emissions Affect Stock Returns? Causal Evidence from a Supreme Court Ruling,Xiaoyi Lyu; Chenyu Shan; Dragon Yongjun Tang,"Considering the importance of corporate carbon emissions, the Supreme Court of the United States ruled against the Environmental Protection Agency (EPA) and curtailed EPA’s regulatory powers by unprecedentedly invoking the “major questions doctrine” in its judgment of West Virginia v. EPA in 2022. We find that the stock prices of firms with greater exposure to carbon risk increased relative to firms with lower exposure after the Supreme Court verdict. The results are more pronounced for firms subject to higher federal climate enforcement intensity prior to the court ruling. Long-term climate commitments by state governments and carbon-sensitive institutional investors attenuate the effect. Both cash flow and discount rate contribute to the climate risk effect in firm value. Overall, our findings from this landmark climate litigation suggest that climate transition risks can affect stock prices. This paper was accepted by Lin William Cong, finance. Funding: Funding support by Hong Kong General Research Fund [Grant 17501825] is gratefully acknowledged. This work was supported by National Natural Science Foundation of China [Grants 72172082 and 72342021 (C. Shan)]. Supplemental Material: The online appendix and data files are available at https://doi.org/10.1287/mnsc.2024.06732 .",2026-04-03T07:00:00+00:00,https://pubsonline.informs.org/doi/abs/10.1287/mnsc.2024.06732?af=R,10.1287/mnsc.2024.06732,climate,2026-04-08T06:17:27.848079+00:00,2026-04-03T07:00:00Z
Manufacturing and Service Operations Management,om,Capacity Management in Networks: A Structural Estimation Approach for Hospital Inpatient Wards,Jing Dong; Pengyi Shi; Fanyin Zheng; Xin Jin,"Problem definition: Addressing capacity management within a multifaceted network of resources is a critical challenge in service operations management. As resources are often shared to serve multiple classes of customers in such systems, customer routing often depends on the congestion levels of these resources, which in turn are affected by customer routing, creating a feedback loop. Consequently, when evaluating the impact of substantial capacity changes in the network, one must account for the complexity resulting from resource sharing, endogenous routing policies, and the feedback loop between routing policies and congestion levels that has the potential to alter the equilibrium of the system. This complexity renders conventional approaches insufficient for an accurate assessment. Methodology/results: To tackle these challenges, we develop a structural estimation approach that relies on two key components. First, we estimate the routing policy via a choice model that allows the routing policy to depend on not only the focal resource’s utilization but all connected resources’ utilization. We adopt a control function approach with instrumental variables to estimate the loads’ effect in routing without bias. Second, we incorporate the estimated routing policy into a queueing network model that captures the detailed system dynamics and evaluates the equilibrium performance of the entire network. We apply our approach to the specific empirical setting of the hospital inpatient ward network. We show that our proposed approach outperforms two alternative models and highlight the importance of accounting for network equilibrium effects when evaluating substantial capacity changes. Managerial implications: We provide prescriptive capacity allocation recommendations to hospital managers. More generally, our findings underscore the importance of a comprehensive understanding of the interdependencies between customer routing decisions and the levels of congestion present at various resources, shedding light on broader strategies for improving the operational performance of service networks. Funding: This work was supported by the Division of Civil, Mechanical and Manufacturing Innovation [Grant 1944209].",2026-03-27T07:00:00+00:00,https://pubsonline.informs.org/doi/abs/10.1287/msom.2023.0700?af=R,10.1287/msom.2023.0700,hospital,2026-04-08T06:17:30.466098+00:00,2026-03-27T07:00:00Z
NBER Working Papers,economics,"Thinking versus Doing: Cognitive Capacity, Decision Making and Medical Diagnosis",Benjamin R. Handel; Louis-Jonas Heizlsperger; Jonas Knecht; Jonathan T. Kolstad; Ulrike Malmendier; Filip Matějka,"We study how situational fluctuations in cognitive capacity shape behavior in high-stakes, real-time decision-making. Drawing on recent advances in behavioral economics that revolve around inattention, cognition and complexity, we show that cognitive load influences how physicians in emergency",2026-04-01T00:00:00+00:00,https://www.nber.org/papers/w35034,,medical,2026-04-08T06:17:39.623431+00:00,April 2026
NBER Working Papers,economics,Can Personal Access to Medical Expertise Overcome Vaccine Hesitancy?,D. Mark Anderson; Ron Diris; Raymond Montizaan; Daniel I. Rees,"Using data on applicants to Dutch medical schools and their older relatives (i.e., parents, aunts, and uncles ages 60+), we estimate the effect of personal access to medical expertise on vaccine hesitancy. Leveraging variation in lottery outcomes that determine admission to medical schools, we find",2026-04-01T00:00:00+00:00,https://www.nber.org/papers/w35019,,medical,2026-04-08T06:17:39.624429+00:00,April 2026
NBER Working Papers,economics,"Climate Change, Deforestation, and the Expansion of the Global Agricultural Frontier",Allan Hsiao; Jacob Moscona; Benjamin A. Olken; Karthik A. Sastry,"This paper studies how global warming affects deforestation and agricultural land use. Using high-resolution satellite data on global temperature, deforestation, and land cover from 2001 to 2019, we find that extreme heat shocks to agricultural productivity cause large and persistent forest loss on",2026-04-01T00:00:00+00:00,https://www.nber.org/papers/w35029,,climate,2026-04-08T06:17:39.625426+00:00,April 2026
WFA 2025,finance,The Limits of Insurance Demand and the Growing Protection Gap,,,,https://westernfinance-portal.org/viewpaper?n=1018444,,insurance,2026-04-08T06:17:35.846182+00:00,
WFA 2025,finance,The Economics of Network-Based Deposit Insurance,,,,https://westernfinance-portal.org/viewpaper?n=1020572,,insurance,2026-04-08T06:17:36.151566+00:00,
WFA 2025,finance,"Climate Risk, Insurance Premiums, and the Effects on Mortgage",,,,https://westernfinance-portal.org/viewpaper?n=985656,,insurance; climate,2026-04-08T06:17:36.469266+00:00,
WFA 2025,finance,(Re)call of Duty: Mutual Fund Securities Lending and Proxy Voting,,,,https://westernfinance-portal.org/viewpaper?n=977900,,mutual fund,2026-04-08T06:17:36.512679+00:00,
WFA 2025,finance,Rent Guarantee Insurance,,,,https://westernfinance-portal.org/viewpaper?n=973784,,insurance,2026-04-08T06:17:36.682021+00:00,
WFA 2025,finance,Risky Insurance: Life-cycle Insurance Portfolio Choice with,,,,https://westernfinance-portal.org/viewpaper?n=1000356,,insurance,2026-04-08T06:17:36.682021+00:00,
WFA 2025,finance,How Do Health Insurance Costs Affect Low- and High-Income,,,,https://westernfinance-portal.org/viewpaper?n=1008112,,insurance,2026-04-08T06:17:36.731275+00:00,
